completed_at,pair,interval,variant,family,candles_loaded,total_return_pct,rank_score,rank_grade,final_equity,trade_count,win_rate_pct,profit_factor,max_drawdown_pct,fees_paid,maker_fee_rate,taker_fee_rate,fee_gst_rate,maker_fee_effective_rate,taker_fee_effective_rate,entry_fee_type,exit_fee_type,leverage,risk_per_trade_pct,compound_risk_equity,stop_loss_pct,take_profit_pct,stop_slippage_pct,funding_fee_rate,funding_interval_hours,funding_paid,ambiguous_exit_count,gap_exit_count,trailing_stop_enabled,trailing_profile,trailing_stop_activation_pct,trailing_stop_distance_pct,atr_dynamic_exits_enabled,atr_period,atr_stop_multiple,atr_take_profit_multiple,atr_take_profit_mode,accepted_reports,rejected_reports,enter_long,enter_short,exit_long,exit_short,hold,error
2026-05-18T04:27:48.983057+05:30,B-AIGENSYN_USDT,5m,hybrid_meta,hybrid_meta,1000,-4.121189306151330840819925440,-11.91295928193177686007203799,reject,958.7881069384866915918007456,17,29.41176470588235294117647059,0.6762393158825503076369084258,7.995398886036437307620743519,6.709788061218518073702647001,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,34,983,17,0,17,0,983,
2026-05-18T04:28:04.082938+05:30,B-AIGENSYN_USDT,15m,hybrid_meta,hybrid_meta,903,-0.0271370936226437315205897400,-1.776482084729368379811076472,reject,999.7286290637735626847941026,16,37.500,0.9973870634016722146113238909,3.635295294328055262010507611,4.812235297306725369952300376,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,32,887,16,0,16,0,887,
2026-05-18T04:28:08.021183+05:30,B-AIGENSYN_USDT,30m,hybrid_meta,hybrid_meta,452,-5.754820099716004129584103770,-12.49854163353530457336539897,reject,942.4517990028399587041589623,11,18.18181818181818181818181818,0.3779045776593303500647880038,6.439624551310368915128696965,2.229990100552981834918055440,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,22,441,11,0,11,0,441,
2026-05-18T04:28:09.274135+05:30,B-AIGENSYN_USDT,1h,hybrid_meta,hybrid_meta,226,-5.375651885450073218585277240,-11.30453059864381856064967907,reject,946.2434811454992678141472276,8,12.500,0.2458824126129465380907556879,5.456514830735710734596730567,1.031483966708490577451042980,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,16,218,8,0,8,0,218,
2026-05-18T04:28:09.515172+05:30,B-AIGENSYN_USDT,4h,hybrid_meta,hybrid_meta,57,-2.016174907287245583118787370,-4.887192260016764079348738844,too_few_trades,979.8382509271275441688121263,2,0,0E+26,2.376813882183614796983961179,0.1415897828994519276969403493,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,4,55,2,0,2,0,55,
2026-05-18T04:28:27.984618+05:30,B-RAVE_USDT,5m,hybrid_meta,hybrid_meta,1000,4.256456015964980601229791400,5.537267678672542931668178904,A,1042.564560159649806012297914,8,62.500,2.424489146194748967181081013,3.174533303745548483139019618,6.590998240921256927134264985,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,16,992,8,0,8,0,992,
2026-05-18T04:29:23.124579+05:30,B-RAVE_USDT,15m,hybrid_meta,hybrid_meta,1000,-0.9219755417654505154463179200,-3.235957850962449610415658841,reject,990.7802445823454948455368208,14,35.71428571428571428571428571,0.9030558409915950711725997919,3.856075192944151389851632404,5.445362105685498285947575796,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,28,986,14,0,14,0,986,
2026-05-18T04:29:57.907539+05:30,B-RAVE_USDT,30m,hybrid_meta,hybrid_meta,1000,-4.773681071002729758902940230,-10.25028943158361008537326161,reject,952.2631892899727024109705977,10,20.0,0.4208782051022827764594640155,5.454691816628356703511399528,2.242810069360046321752306514,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,20,990,10,0,10,0,990,
2026-05-18T04:30:16.557108+05:30,B-RAVE_USDT,1h,hybrid_meta,hybrid_meta,1000,21.12896146433667439368373980,22.59147164133709815056118787,A,1211.289614643366743936837398,39,56.41025641025641025641025641,2.272500508025441359206225483,4.025992671240367169228002317,4.898926863036625988255804987,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,1,0,False,off,0,0,False,14,1.5,3,fixed,78,961,39,0,39,0,961,
2026-05-18T04:30:25.503425+05:30,B-RAVE_USDT,4h,hybrid_meta,hybrid_meta,688,6.773197475398174192762756300,3.669975303216401041412062720,B,1067.731974753981741927627563,26,46.15384615384615384615384615,1.478050340708801631196206599,5.887458282879501130994485422,2.856124319084653173109434828,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,1,0,False,off,0,0,False,14,1.5,3,fixed,52,662,26,0,26,0,662,
