completed_at,pair,interval,variant,family,candles_loaded,total_return_pct,rank_score,rank_grade,final_equity,trade_count,win_rate_pct,profit_factor,max_drawdown_pct,fees_paid,maker_fee_rate,taker_fee_rate,fee_gst_rate,maker_fee_effective_rate,taker_fee_effective_rate,entry_fee_type,exit_fee_type,leverage,risk_per_trade_pct,compound_risk_equity,stop_loss_pct,take_profit_pct,stop_slippage_pct,funding_fee_rate,funding_interval_hours,funding_paid,ambiguous_exit_count,gap_exit_count,trailing_stop_enabled,trailing_profile,trailing_stop_activation_pct,trailing_stop_distance_pct,atr_dynamic_exits_enabled,atr_period,atr_stop_multiple,atr_take_profit_multiple,atr_take_profit_mode,accepted_reports,rejected_reports,enter_long,enter_short,exit_long,exit_short,hold,error
2026-05-18T04:16:18.021544+05:30,B-KITE_USDT,5m,hybrid_meta,hybrid_meta,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CoinDCXNetworkError: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
2026-05-18T04:16:21.917027+05:30,B-KITE_USDT,5m,adaptive_default,adaptive_hybrid,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CoinDCXNetworkError: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
